0,0,42.42685,-73.28907,363.9,42005,9.4,0,0,0,21.5,29,14,0,0,0,0,0,0,0,0,0,0,0
1,1,42.69728,-73.16967,195.1,42005,6.49,0,0,0,21.5,32,11,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42005,0,0,0,0,20.5,30,11,19,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42005,14.99,0,0,0,20,30,13,0,0,0,0,0,0,0,0,0,0,0
0,0,42.42685,-73.28907,363.9,42006,12.3,0,0,0,27,33,21,0,0,0,0,0,0,0,0,0,0,0
1,1,42.69728,-73.16967,195.1,42006,12.75,0,0,0,29.5,34,25,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42006,0,0,0,0,25.5,32,19,30,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42006,14.54,0,0,0,30,34,26,0,0,0,0,0,0,0,0,0,0,0
0,0,42.42685,-73.28907,363.9,42007,5.82,0.47,0,0,22.5,29,16,0,0,1,1,0,0,0,1,0,0,0
1,1,42.69728,-73.16967,195.1,42007,7.61,0.37,0,0,23,29,17,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42007,0,0,0,0,29,39,19,21,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42007,6.71,0.58,2.2,0,24,30,20,0,0,1,1,0,0,0,1,0,0,0
0,0,42.42685,-73.28907,363.9,42008,5.37,0.66,0,0,36.5,45,28,0,0,1,1,0,0,0,1,0,0,0
1,1,42.69728,-73.16967,195.1,42008,10.74,0.43,0,0,37,45,29,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42008,0,0.85,1.8,2,26,32,20,32,0,1,0,0,1,0,1,0,0,0
4,4,42.2706,-71.8731,304.8,42008,11.86,0.42,0,0,34,47,30,0,0,1,1,0,0,0,1,0,0,0
0,0,42.42685,-73.28907,363.9,42009,18.12,0,0,0,22.5,37,8,0,0,1,0,0,0,0,0,1,0,0
1,1,42.69728,-73.16967,195.1,42009,14.99,0,0,0,25.5,40,11,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42009,0,0.14,0,1,31,42,20,34,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42009,22.59,0,0,0,32,40,10,0,0,0,0,0,0,0,0,0,0,0
0,0,42.42685,-73.28907,363.9,42010,4.92,0,0,0,9,13,5,0,0,1,0,0,0,0,0,1,0,0
1,1,42.69728,-73.16967,195.1,42010,4.03,0,0,0,9.5,16,3,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42010,0,0,0,0,26.5,42,11,13,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42010,5.82,0.03,0.6,0,11,13,7,0,0,1,0,0,0,0,0,0,0,0
0,0,42.42685,-73.28907,363.9,42011,13.87,0,0,0,4.5,15,-6,0,0,1,0,0,0,0,0,1,1,0
1,1,42.69728,-73.16967,195.1,42011,9.4,0,0,0,7,18,-4,0,0,0,0,0,0,0,0,0,0,0
2,2,42.3861,-72.5374,44.2,42011,0,0.03,0,0,10.5,18,3,6,0,0,0,0,0,0,0,0,0,0
4,4,42.2706,-71.8731,304.8,42011,14.09,0,0,0,14,19,7,0,0,0,0,0,0,0,0,1,0,0
0,0,42.42685,-73.28907,363.9,42012,8.5,0,0,0,3,15,-9,0,0,0,0,0,0,0,0,0,0,0
1,1,42.69728,-73.16967,195.1,42012,6.93,0,0,0,4.5,17,-8,0,0,0,0,0,0,0,0,0,0,0
